id,year,school,school_composition,school_involvement,sep,sep_alpha,sep_beta,oa_1,oa_2,oa_3,oa_4,tr_1,tr_2,em_1,em_2,em_3,em_4,ia_1,ia_2,wc_1,wc_2,cq_1,cq_2,cq_3,cq_4,cq_5,mb_1,mb_2,dp_1,dp_2,mb_3,mb_4,mb_5
39,12,46,catholic,3,1,NA,NA,4,3,5,3,3,4,3,3,3,3,1,1,3,3,4,4,3,3,3,5,5,1,1,5,5,5
40,8,10,protestant,3,NA,0.7217899321632248,19.130038472941248,3,3,3,3,3,3,2,2,2,3,3,3,2,2,1,2,1,1,1,2,3,4,5,4,4,2
40,9,10,protestant,3,NA,0.7217899321632248,19.130038472941248,2,2,3,2,2,2,3,3,1,2,1,3,2,2,1,1,1,1,1,3,2,2,2,4,3,2
40,10,10,protestant,3,NA,0.7217899321632248,19.130038472941248,2,2,3,2,3,3,2,2,2,3,1,3,2,2,2,1,1,1,1,3,2,4,5,5,5,5
40,11,10,protestant,3,NA,0.7217899321632248,19.130038472941248,3,3,3,NA,3,3,3,4,2,1,1,2,3,3,1,1,1,1,1,1,3,3,3,NA,NA,NA
42,8,35,protestant,3,NA,2.895368623950058,6.336085065094098,4,5,4,5,4,4,3,4,3,4,1,1,3,3,1,NA,1,1,1,5,5,NA,NA,5,NA,NA
42,9,35,protestant,3,NA,2.895368623950058,6.336085065094098,5,5,5,4,4,4,3,3,4,5,1,1,3,4,4,2,2,2,3,4,5,5,5,5,5,5
43,8,27,catholic,3,1,NA,NA,2,2,2,2,3,3,1,2,2,1,4,4,2,2,1,1,1,1,1,3,3,2,3,5,3,4
43,9,27,catholic,3,1,NA,NA,2,2,3,2,3,2,2,2,3,2,3,3,2,2,1,1,2,1,1,2,2,2,2,3,3,2
43,10,27,catholic,3,1,NA,NA,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,1,1
43,12,27,catholic,3,1,NA,NA,1,2,2,3,2,2,1,1,1,1,1,1,2,2,5,5,5,4,2,3,3,3,3,3,3,3
44,8,28,catholic,1,NA,0.800707080536275,5.76061292879427,4,4,4,4,3,4,3,2,2,5,2,1,4,4,3,2,2,2,2,3,3,3,4,4,5,3
44,9,28,catholic,1,NA,0.800707080536275,5.76061292879427,4,4,4,4,4,4,4,4,2,5,2,1,5,5,1,2,3,1,1,5,4,2,5,5,5,5
44,10,28,catholic,1,NA,0.800707080536275,5.76061292879427,3,3,4,4,4,3,3,4,3,5,1,2,4,4,3,2,2,3,1,4,3,3,5,5,5,5
45,8,46,catholic,3,NA,10.827319156640135,12.914937100672894,3,3,4,4,3,3,2,2,2,3,1,1,3,3,1,1,1,1,1,3,4,4,5,4,3,3
45,9,46,catholic,3,NA,10.827319156640135,12.914937100672894,3,2,4,4,4,4,5,4,3,5,1,1,3,3,1,3,2,1,2,4,4,4,4,5,5,4
45,12,46,catholic,3,NA,10.827319156640135,12.914937100672894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,8,3,catholic,2,NA,0.3999414999826967,8.49308230062284,5,3,3,4,3,3,1,3,3,4,1,3,2,2,1,2,1,1,1,3,4,2,4,5,4,3
47,9,3,catholic,2,NA,0.3999414999826967,8.49308230062284,4,4,3,5,4,4,3,4,4,5,1,1,3,3,1,3,1,1,1,4,5,3,5,5,5,5
47,11,3,catholic,2,NA,0.3999414999826967,8.49308230062284,3,3,3,3,3,3,1,3,3,4,1,1,3,3,1,3,1,1,1,3,3,5,4,5,5,5
47,12,3,catholic,2,NA,0.3999414999826967,8.49308230062284,5,5,5,5,5,4,4,4,4,4,1,1,5,5,1,5,5,3,4,5,2,3,3,5,5,5
48,8,27,catholic,3,NA,45.672284447874915,2.273633587735846,3,3,3,4,2,3,5,2,1,5,1,1,2,3,1,2,3,1,1,3,5,3,5,5,5,5
48,9,27,catholic,3,NA,45.672284447874915,2.273633587735846,4,4,4,4,3,3,4,4,2,4,1,4,3,3,3,2,3,2,2,4,1,3,4,5,5,4
49,8,3,catholic,2,NA,1.1585018062179746,12.859034205160569,4,5,4,4,3,3,4,5,4,5,1,1,5,4,2,5,1,5,1,5,5,2,4,5,4,3
49,9,3,catholic,2,NA,1.1585018062179746,12.859034205160569,3,5,1,NA,2,2,5,5,2,5,1,1,1,1,1,2,3,1,2,2,1,5,5,NA,3,5
50,8,6,catholic,1,NA,1.8592631480728075,48.629317099794235,2,1,2,2,1,1,1,2,3,4,5,5,2,1,2,1,1,1,1,3,2,NA,4,4,2,3
50,9,6,catholic,1,NA,1.8592631480728075,48.629317099794235,3,2,3,2,3,3,3,2,2,4,2,3,3,3,2,2,1,1,1,2,2,3,4,4,2,2
50,12,6,catholic,1,NA,1.8592631480728075,48.629317099794235,4,4,4,3,3,3,2,3,2,4,1,1,5,5,1,2,1,1,1,5,4,3,5,5,5,5
51,8,7,catholic,1,NA,0.6272943184271225,43.950384170926014,3,5,3,3,4,4,1,1,1,1,1,1,2,3,1,3,1,2,2,5,3,1,2,5,5,4
51,9,7,catholic,1,NA,0.6272943184271225,43.950384170926014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
51,10,7,catholic,1,NA,0.6272943184271225,43.950384170926014,3,3,3,3,3,3,3,2,3,2,2,2,4,3,2,1,1,1,1,3,1,2,3,5,5,5
51,11,7,catholic,1,NA,0.6272943184271225,43.950384170926014,3,4,4,3,3,4,4,4,3,5,2,2,4,4,1,2,2,1,1,2,4,5,4,NA,NA,NA
52,8,19,protestant,3,1,NA,NA,5,5,5,5,5,5,5,5,5,5,1,1,5,5,3,5,5,2,4,5,5,5,5,5,5,5
52,9,19,protestant,3,1,NA,NA,3,5,3,5,3,3,2,2,2,5,1,1,3,3,2,5,5,5,5,3,3,4,4,3,3,3
52,11,19,protestant,3,1,NA,NA,5,5,5,5,5,5,3,3,4,5,1,1,4,4,5,5,5,3,5,1,5,1,5,5,5,5
53,8,6,catholic,1,NA,1.8592631480728075,48.629317099794235,3,4,4,4,3,3,2,3,3,5,3,3,4,4,2,1,1,1,1,3,5,4,5,5,5,5
53,9,6,catholic,1,NA,1.8592631480728075,48.629317099794235,3,4,3,4,NA,5,1,3,2,5,1,1,3,3,1,2,1,1,1,2,2,NA,4,5,5,5
54,8,19,protestant,3,1,NA,NA,3,4,3,3,2,3,2,3,2,3,2,2,3,3,2,4,2,2,3,3,3,3,4,4,3,3
54,9,19,protestant,3,1,NA,NA,3,4,3,4,3,3,4,3,3,4,3,3,4,3,1,3,2,2,1,4,4,4,4,4,5,5
54,10,19,protestant,3,1,NA,NA,4,5,4,5,3,3,4,4,3,4,4,5,3,3,2,4,2,3,2,5,5,5,5,5,4,4
54,11,19,protestant,3,1,NA,NA,3,4,3,4,3,3,4,4,4,4,5,1,3,3,5,3,3,2,1,4,4,4,5,5,5,5
54,12,19,protestant,3,1,NA,NA,4,5,5,4,4,4,2,4,4,4,1,1,3,3,5,3,3,2,1,4,5,2,4,4,4,4
55,8,17,catholic,2,NA,0.5269780378695798,42.87809752607948,3,3,3,3,3,3,1,2,2,1,5,4,2,2,1,1,1,1,1,5,4,5,3,5,4,5
55,9,17,catholic,2,NA,0.5269780378695798,42.87809752607948,2,1,2,2,4,4,2,2,1,2,4,5,2,2,1,1,1,1,1,3,1,4,4,5,3,4
55,10,17,catholic,2,NA,0.5269780378695798,42.87809752607948,3,3,3,3,3,3,3,3,3,4,1,1,3,3,1,1,1,1,1,3,3,5,5,5,5,5
55,11,17,catholic,2,NA,0.5269780378695798,42.87809752607948,5,4,3,3,5,5,4,3,4,5,1,1,3,3,1,1,1,1,1,3,5,5,5,3,3,3
55,12,17,catholic,2,NA,0.5269780378695798,42.87809752607948,5,3,4,4,4,4,3,3,3,3,1,1,5,5,1,1,4,1,1,5,5,5,4,5,5,5
56,8,48,catholic,3,1,NA,NA,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,3,NA,NA,1,1,1
56,9,48,catholic,3,1,NA,NA,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,5,5,3
56,10,48,catholic,3,1,NA,NA,3,2,3,2,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,2,5,3,4,3,3,3
56,11,48,catholic,3,1,NA,NA,3,3,3,3,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,3,3,1,1,3,3,3
